,Date,EmployeeName,Plan,PolicyNumber,Premium
0,05/01/2023,John Doe,Gold,AB-12345,150.0
1,05/02/2023,Jane Smith,Silver,CD-67890,100.0
2,05/03/2023,Michael Brown,Bronze,EF-10111,50.0
3,05/04/2023,Alice Johnson,Gold,GH-12121,150.0
4,05/05/2023,Bob Wilson,Silver,IJ-13131,100.0
5,05/06/2023,Carol Martinez,Bronze,KL-14141,50.0
6,05/07/2023,David Anderson,Gold,MN-15151,150.0
7,05/08/2023,Eva Thomas,Silver,OP-16161,100.0
8,05/09/2023,Frank Jackson,Bronze,QR-17171,50.0
9,05/10/2023,Grace White,Gold,ST-18181,150.0
10,2023-05-01,John Doe,Gold,AB12345,150.0
11,2023-05-02,Jane Smith,Silver,CD67890,100.0
12,2023-05-03,Michael Brown,Bronze,EF10111,50.0
13,2023-05-04,Alice Johnson,Gold,GH12121,150.0
14,2023-05-05,Bob Wilson,Silver,IJ13131,100.0
15,2023-05-06,Carol Martinez,Bronze,KL14141,50.0
16,2023-05-07,David Anderson,Gold,MN15151,150.0
17,2023-05-08,Eva Thomas,Silver,OP16161,100.0
18,2023-05-09,Frank Jackson,Bronze,QR17171,50.0
19,2023-05-10,Grace White,Gold,ST18181,150.0
